"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3069","carpet- proj 40                              ","1/1/2012",15894.24,3814.62,"200DB",5,"180","Furniture & Fixtures",2,3,"None","carpet"
"3070","carpet- proj 40                              ","1/1/2012",3483.2,835.97,"200DB",5,"180","Furniture & Fixtures",2,3,"None","carpet"
"3071","carpet-apt int                               ","8/1/2012",292.12,70.11,"200DB",5,"180","Furniture & Fixtures",1.42,3.58,"None","carpet"
"3072","dishwasher- proj 40                          ","1/1/2012",344.54,82.69,"200DB",5,"180","Furniture & Fixtures",2,3,"None","dishwasher"
"3073","dishwashers                                  ","11/1/2012",269.29,64.63,"200DB",5,"180","Furniture & Fixtures",1.16,3.84,"None","dishwasher"
"3074","dishwashers                                  ","10/1/2012",464.38,111.45,"200DB",5,"180","Furniture & Fixtures",1.25,3.75,"None","dishwasher"
"3075","dishwashers                                  ","9/1/2012",257.52,61.81,"200DB",5,"180","Furniture & Fixtures",1.33,3.67,"None","dishwasher"
"3076","dishwashers                                  ","8/1/2012",1020.08,244.82,"200DB",5,"180","Furniture & Fixtures",1.42,3.58,"None","dishwasher"
"3077","dishwashers                                  ","7/1/2012",510.04,122.41,"200DB",5,"180","Furniture & Fixtures",1.5,3.5,"None","dishwasher"
"3078","dishwashers                                  ","6/1/2012",263.94,63.35,"200DB",5,"180","Furniture & Fixtures",1.58,3.42,"None","dishwasher"
"3079","dishwashers                                  ","5/1/2012",257.52,61.81,"200DB",5,"180","Furniture & Fixtures",1.67,3.33,"None","dishwasher"
"3080","dishwashers                                  ","1/1/2012",1074.72,257.93,"200DB",5,"180","Furniture & Fixtures",2,3,"None","dishwasher"
"3081","dishwasher's- proj 40                        ","1/1/2012",4597.84,1103.48,"200DB",5,"180","Furniture & Fixtures",2,3,"None","dishwasher"
"3082","finish hardware                              ","12/1/2012",1367.72,328.25,"200DB",5,"180","Furniture & Fixtures",1.08,3.92,"None","None"
"3083","finish hardware                              ","11/1/2012",1156.6,277.58,"200DB",5,"180","Furniture & Fixtures",1.16,3.84,"None","None"
"3084","finish hardware                              ","10/1/2012",3727.32,894.56,"200DB",5,"180","Furniture & Fixtures",1.25,3.75,"None","None"
"3085","finish hardware                              ","9/1/2012",3547.55,851.41,"200DB",5,"180","Furniture & Fixtures",1.33,3.67,"None","None"
"3086","finish hardware                              ","8/1/2012",1822.49,437.39,"200DB",5,"180","Furniture & Fixtures",1.42,3.58,"None","None"
"3087","finish hardware                              ","7/1/2012",963.96,231.35,"200DB",5,"180","Furniture & Fixtures",1.5,3.5,"None","None"
"3088","office chairs                                ","1/1/2012",577.77,176.86,"200DB",7,"180","Furniture & Fixtures",2,5,"None","office"
"3089","range hood- proj 40                          ","1/1/2012",323.31,77.59,"200DB",5,"180","Furniture & Fixtures",2,3,"None","range"
"3090","range/ventahood                              ","12/1/2012",395.7,94.97,"200DB",5,"180","Furniture & Fixtures",1.08,3.92,"None","range"
"3091","range/ventahood                              ","9/1/2012",346.68,83.2,"200DB",5,"180","Furniture & Fixtures",1.33,3.67,"None","range"
"3092","range/ventahood                              ","8/1/2012",117.14,28.12,"200DB",5,"180","Furniture & Fixtures",1.42,3.58,"repair below $200","range"
"3093","range/ventahood                              ","7/1/2012",362.59,87.02,"200DB",5,"180","Furniture & Fixtures",1.5,3.5,"None","range"
"3094","range/ventahood                              ","6/1/2012",363.8,87.31,"200DB",5,"180","Furniture & Fixtures",1.58,3.42,"None","range"
